category,skills
Technical Support Jobs,['adobe']
Technical Support Jobs,"['operations', 'office', 'office operations']"
Technical Support Jobs,"['customer service', 'email', 'chat']"
Technical Support Jobs,"['operations', 'office', 'office operations']"
Technical Support Jobs,"['operations', 'office', 'office operations']"
Technical Support Jobs,"['operations', 'office', 'office operations']"
Technical Support Jobs,"['zimbra', 'postfix', 'qmail']"
Technical Support Jobs,"['troubleshooting', 'adobe']"
Technical Support Jobs,['adobe']
Python Jobs,"['python', 'numpy', 'databases', 'nosql', 'django', 'flask', 'etl', 'panda']"
Python Jobs,"['developers', 'python', 'php', 'web']"
Python Jobs,"['ansible', 'ci', 'python', 'jenkins', 'multithreading', 'cd']"
Python Jobs,"['unix', 'agile', 'linux', 'rest', 'flask', 'aws', 'azure']"
Python Jobs,"['python', 'cloud', 'spark', 'sql', 'aws']"
Python Jobs,"['linux', 'cloud']"
Python Jobs,"['html5', 'python', 'django']"
Python Jobs,"['sas', 'python', 'bfsi', 'risk', 'business analytics', 'risk analytics', 'sql', 'analytics']"
Python Jobs,"['python', 'web', 'database', 'framework', 'web framework']"
Python Jobs,"['python', 'live']"
Python Jobs,"['python', 'live']"
Python Jobs,['python']
Python Jobs,"['python', 'developers']"
Python Jobs,"['python', 'live']"
Python Jobs,"['python', 'live']"
Python Jobs,[]
Python Jobs,"['python', 'django', 'search', 'angularjs', 'mongodb', 'jquery', 'mysql']"
Python Jobs,"['python', 'nosql', 'cassandra', 'ruby', 'postgresql', 'mongodb', 'mysql']"
Python Jobs,"['python', 'visual basic', 'scripting', 'application', 'basic', 'bash', 'perl']"
Python Jobs,['python']
Python Jobs,[]
Python Jobs,"['python', 'live']"
Python Jobs,"['python', 'live']"
Python Jobs,['python']
Python Jobs,"['python', 'web', 'django', 'flask', 'reactjs', 'aws']"
Sql Jobs,"['azure', 'import', 'export', 'sql server', 'etl', 'storage', 'sql', 'import export']"
Sql Jobs,['sql']
Sql Jobs,"['customer service', 'cce']"
Sql Jobs,"['dwh', 'sql', 'db', 'azure']"
Sql Jobs,"['oracle database', 'sql', 'oracle', 'database']"
Sql Jobs,"['oracle database', 'sql', 'oracle', 'database']"
Sql Jobs,"['python', 'cloud', 'spark', 'sql', 'aws']"
Sql Jobs,"['aspnet', 'restful webservices', 'c#', 'angularjs', 'microservices', 'mvc', 'net', 'architecture', 'jquery', 'mysql', 'azure']"
Sql Jobs,"['sql', 'database']"
Sql Jobs,"['aspnet', 'javascript', 'c#', 'sql server', 'mvc', 'net', 'aspnet mvc', 'sql']"
Sql Jobs,"['sas', 'python', 'bfsi', 'risk', 'business analytics', 'risk analytics', 'sql', 'analytics']"
Sql Jobs,"['base', 'sql', 'database']"
Sql Jobs,"['database', 'sql server', 'crm', 'sql', 'azure']"
Sql Jobs,[]
Sql Jobs,"['javascript', 'web', 'angular', 'c#', 'mongodb', 'api', 'sql', 'web api', 'couchbase']"
Sql Jobs,"['java', 'core java', 'hibernate', 'spring', 'angular']"
Sql Jobs,"['oracle reports', 'oracle erp', 'oracle', 'cloud']"
Sql Jobs,"['power bi', 'sql server', 'msbi', 'reporting', 'sql']"
Sql Jobs,"['etl', 'sql']"
Sql Jobs,"['sql server', 'sql', 'ms']"
Sql Jobs,"['sql server', 'sql', 'database']"
Sql Jobs,"['lead generation', 'inside sales', 'cold calling', 'campaigns']"
Sql Jobs,"['shell scripting', 'c++', 'linux', 'scripting', 'c', 'embedded', 'embedded sql', 'sql']"
Sql Jobs,"['database testing', 'testing', 'database']"
Sql Jobs,['reporting']
Computer Operator Jobs,[]
Computer Operator Jobs,"['office', 'store']"
Computer Operator Jobs,"['office', 'computer networking']"
Computer Operator Jobs,"['office', 'front office']"
Computer Operator Jobs,"['excel', 'office']"
Computer Operator Jobs,[]
Computer Operator Jobs,"['office', 'base']"
Computer Operator Jobs,"['office', 'online']"
Computer Operator Jobs,['chat']
Computer Operator Jobs,[]
Computer Operator Jobs,[]
Computer Operator Jobs,"['database', 'base', 'form filling', 'form', 'online']"
Computer Operator Jobs,"['operations', 'database', 'office operations', 'office', 'online']"
Computer Operator Jobs,[]
Computer Operator Jobs,"['office', 'online', 'database']"
Computer Operator Jobs,[]
Computer Operator Jobs,['office']
Computer Operator Jobs,"['office', 'office administration', 'front office']"
Computer Operator Jobs,['office']
Computer Operator Jobs,"['bpo', 'office', 'typing', 'online']"
Computer Operator Jobs,[]
Computer Operator Jobs,"['bpo', 'o', 'retail', 'office', 'executive networking']"
Computer Operator Jobs,[]
Computer Operator Jobs,[]
Computer Operator Jobs,[]
HTML Jobs,"['html5', 'web design', 'web', 'design', 'css', 'bootstrap']"
HTML Jobs,"['net', 'aspnet']"
HTML Jobs,"['javascript', 'html', 'css']"
HTML Jobs,['net']
HTML Jobs,"['javascript', 'database', 'html', 'c#', 'net', 'css']"
HTML Jobs,"['javascript', 'html', 'css']"
HTML Jobs,"['ci', 'functional testing', 'git', 'html', 'cd', 'unit testing', 'css', 'testing', 'blogging', 'participation']"
HTML Jobs,[]
HTML Jobs,"['ci', 'functional testing', 'git', 'html', 'cd', 'unit testing', 'css', 'testing', 'blogging', 'participation']"
HTML Jobs,"['ci', 'functional testing', 'git', 'html', 'cd', 'unit testing', 'css', 'testing', 'blogging', 'participation']"
HTML Jobs,[]
HTML Jobs,"['ci', 'functional testing', 'git', 'html', 'cd', 'unit testing', 'css', 'testing', 'blogging', 'participation']"
HTML Jobs,"['javascript', 'html', 'c++']"
HTML Jobs,"['javascript', 'html', 'typescript', 'css', 'angular', 'bootstrap']"
HTML Jobs,"['scripting', 'processing', 'data processing']"
HTML Jobs,[]
HTML Jobs,"['jasmine', 'html5', 'javascript', 'html', 'karma', 'css', 'angular']"
HTML Jobs,"['html5', 'reactjs', 'html', 'css', 'angular']"
HTML Jobs,"['javascript', 'php', 'wordpress', 'html', 'css', 'jquery', 'mysql']"
HTML Jobs,"['es6', 'html', 'expressjs', 'reactjs', 'db', 'css', 'mysql', 'bootstrap']"
HTML Jobs,['web']
HTML Jobs,"['html5', 'javascript', 'ux', 'css']"
HTML Jobs,"['html5', 'javascript', 'html', 'css']"
HTML Jobs,['lint']
HTML Jobs,"['javascript', 'jscript', 'html', 'css', 'jquery']"
CSS Jobs,['bpo']
CSS Jobs,[]
CSS Jobs,"['javascript', 'html', 'css']"
CSS Jobs,['net']
CSS Jobs,"['javascript', 'database', 'html', 'c#', 'net', 'css']"
CSS Jobs,"['ci', 'functional testing', 'git', 'html', 'cd', 'unit testing', 'css', 'testing', 'blogging', 'participation']"
CSS Jobs,"['ci', 'functional testing', 'git', 'html', 'cd', 'unit testing', 'css', 'testing', 'blogging', 'participation']"
CSS Jobs,"['ci', 'functional testing', 'git', 'html', 'cd', 'unit testing', 'css', 'testing', 'blogging', 'participation']"
CSS Jobs,[]
CSS Jobs,"['ci', 'functional testing', 'git', 'html', 'cd', 'unit testing', 'css', 'testing', 'blogging', 'participation']"
CSS Jobs,"['html5', 'web design', 'web', 'design', 'css', 'bootstrap']"
CSS Jobs,"['web technologies', 'agile', 'web', 'mobile', 'testing', 'testing tools']"
CSS Jobs,"['javascript', 'html', 'typescript', 'css', 'angular', 'bootstrap']"
CSS Jobs,"['jasmine', 'html5', 'javascript', 'html', 'karma', 'css', 'angular']"
CSS Jobs,['web']
CSS Jobs,"['html5', 'reactjs', 'html', 'css', 'angular']"
CSS Jobs,['angular']
CSS Jobs,"['html5', 'javascript', 'nodejs', 'css']"
CSS Jobs,"['swift', 'cocoa touch', 'ios', 'cocoa', 'objectivec', 'multithreading', 'sdk', 'iphone', 'xcode', 'arc']"
CSS Jobs,"['agile', 'uml', 'test planning', 'test execution', 'scrum']"
CSS Jobs,"['aspnet', 'c#', 'jquery', 'sql server', 'mvc', 'net', 'sql']"
CSS Jobs,['aspnet']
CSS Jobs,"['javascript', 'php', 'wordpress', 'html', 'css', 'jquery', 'mysql']"
CSS Jobs,"['html5', 'javascript', 'html', 'css']"
CSS Jobs,"['javascript', 'html', 'angular', 'css']"
AWS Jobs,"['devops', 'aws']"
AWS Jobs,['aws']
AWS Jobs,"['python', 'cloud', 'spark', 'sql', 'aws']"
AWS Jobs,"['java', 'sql', 'oracle']"
AWS Jobs,"['web', 'athena', 's3', 'amazon', 'aws']"
AWS Jobs,"['aws', 'architecting', 'jenkins', 'cloud']"
AWS Jobs,"['java', 'sql', 'oracle']"
AWS Jobs,"['java', 'devops', 'aws']"
AWS Jobs,"['java', 'devops', 'aws']"
AWS Jobs,"['architecture', 'aws']"
AWS Jobs,[]
AWS Jobs,"['java', 'hibernate', 'html', 'spring', 'jpa', 'redux', 'css', 'struts', 'angular']"
AWS Jobs,"['devops', 'aws']"
AWS Jobs,[]
AWS Jobs,"['jenkins', 'git', 'docker', 'artifactory', 'kubernetes', 'architecture', 'aws']"
AWS Jobs,"['big data', 'hbase', 'scala', 'hadoop', 'spark', 'aws', 'hive']"
AWS Jobs,"['devops', 'aws', 'cloud']"
AWS Jobs,"['java', 'aws']"
AWS Jobs,"['python', 'cloud security', 'linux', 'cloud', 'security', 'nagios', 'configuration management', 'aws']"
AWS Jobs,"['java', 'cloud', 'spring boot', 'boot', 'gateway', 'devops', 'spring', 'api', 'docker', 'aws']"
AWS Jobs,"['java', 'web', 'amazon', 's3', 'spring boot', 'boot', 'spring', 'microservices', 'aws']"
AWS Jobs,"['java', 'cloud', 'spring boot', 'boot', 'gateway', 'devops', 'spring', 'api', 'docker', 'aws']"
AWS Jobs,"['automation', 'nosql', 'cloud', 's3', 'dynamo', 'infrastructure', 'design', 'storage', 'aws', 'azure']"
AWS Jobs,"['java', 'python', 'sql server', 'spring', 'sql', 'aws']"
AWS Jobs,"['architecture', 'java', 'python', 'aws']"
Networking Jobs,[]
Networking Jobs,"['emerging technologies', 'inside sales']"
Networking Jobs,"['layer 2', 'openflow', 'pmi', 'itil']"
Networking Jobs,"['cisco nexus', 'nexus', 'enterprise', 'enterprise manager', 'web', 'solaris', 'oracle', 'cisco', 'storage', 'netapp']"
Networking Jobs,"['firewalls', 'analyzer', 'fortinet', 'ems']"
Networking Jobs,"['storage', 'netapp', 'web', 'solaris']"
Networking Jobs,"['window', 'network administrator']"
Networking Jobs,[]
Networking Jobs,"['troubleshooting', 'network engineering', 'hardware installation', 'desktop administration']"
Networking Jobs,"['active directory', 'server support']"
Networking Jobs,[]
Networking Jobs,"['bpo', 'blackberry']"
Networking Jobs,[]
Networking Jobs,['network administrator']
Networking Jobs,[]
Networking Jobs,['storage']
Networking Jobs,"['vmware', 'linux', 'intune', 'security', 'active directory', 'network administrator', 'firewall', 'windows intune', 'network security', 'windows', 'aws', 'azure']"
Networking Jobs,"['testing', 'cloud']"
Networking Jobs,[]
Networking Jobs,"['troubleshooting', 'ip', 'active directory']"
Networking Jobs,"['interview', 'hiring', 'scheduling']"
Networking Jobs,[]
Networking Jobs,['developers']
Networking Jobs,['network administrator']
Networking Jobs,['developers']
Receptionist Jobs,['commerce']
Receptionist Jobs,[]
Receptionist Jobs,[]
Receptionist Jobs,[]
Receptionist Jobs,[]
Receptionist Jobs,[]
Receptionist Jobs,[]
Receptionist Jobs,"['office', 'office administration', 'front office']"
Receptionist Jobs,[]
Receptionist Jobs,"['office', 'office administration', 'front office']"
Receptionist Jobs,"['operations', 'office', 'office operations']"
Receptionist Jobs,[]
Receptionist Jobs,"['bpo', 'o', 'retail', 'office', 'executive networking']"
Receptionist Jobs,['office']
Receptionist Jobs,[]
Receptionist Jobs,['office']
Receptionist Jobs,[]
Receptionist Jobs,[]
Receptionist Jobs,[]
Receptionist Jobs,"['operations', 'office', 'office operations']"
Receptionist Jobs,"['office', 'front office']"
Receptionist Jobs,"['office', 'front office']"
Receptionist Jobs,"['office', 'front office']"
Receptionist Jobs,[]
Receptionist Jobs,"['office', 'front office']"
Angular Jobs,"['macos', 'angular', 'firebase']"
Angular Jobs,['angular']
Angular Jobs,['angular']
Angular Jobs,"['html5', 'angularjs', 'angular', 'bootstrap']"
Angular Jobs,[]
Angular Jobs,"['net', 'aspnet']"
Angular Jobs,"['javascript', 'angularjs', 'typescript', 'angular']"
Angular Jobs,['angular']
Angular Jobs,"['java', 'core java', 'hibernate', 'spring', 'angular']"
Angular Jobs,"['java', 'javascript', 'hibernate', 'spring', 'typescript', 'jquery', 'angular']"
Angular Jobs,"['html5', 'git', 'frontend development', 'jquery', 'angular']"
Angular Jobs,"['html5', 'git', 'frontend development', 'jquery', 'angular']"
Angular Jobs,"['angularjs', 'angular', 'typescript', 'karma']"
Angular Jobs,"['javascript', 'angular', 'nodejs']"
Angular Jobs,"['html5', 'git', 'frontend development', 'jquery', 'angular']"
Angular Jobs,"['html5', 'git', 'frontend development', 'jquery', 'angular']"
Angular Jobs,"['jasmine', 'java', 'javascript', 'core java', 'hibernate', 'reactjs', 'karma', 'devops', 'angularjs', 'spring', 'typescript', 'jquery', 'angular', 'bootstrap']"
Angular Jobs,"['javascript', 'web', 'angular', 'c#', 'mongodb', 'api', 'sql', 'web api', 'couchbase']"
Angular Jobs,[]
Angular Jobs,"['java', 'angularjs', 'angular']"
Angular Jobs,['angular']
Angular Jobs,"['java', 'rest', 'sass', 'html', 'css', 'angular', 'bootstrap', 'less']"
Angular Jobs,"['ajax', 'aspnet', 'adonet', 'web', 'angular', 'jquery', 'sql server', 'mvc', 'api', 'signalr', 'aspnet mvc', 'sql', 'web api']"
Angular Jobs,"['jasmine', 'java', 'javascript', 'core java', 'hibernate', 'reactjs', 'karma', 'devops', 'angularjs', 'spring', 'typescript', 'jquery', 'angular', 'bootstrap']"
Angular Jobs,"['javascript', 'ionic', 'git', 'html', 'interfaces', 'emberjs', 'scrum', 'css', 'angular']"
Agile Jobs,"['agile', 'project coordination']"
Agile Jobs,['python']
Agile Jobs,"['seo', 'digital marketing', 'internet', 'digital', 'online']"
Agile Jobs,[]
Agile Jobs,"['finance', 'etl', 'sql']"
Agile Jobs,['recruiter']
Agile Jobs,"['java', 'javascript', 'agile', 'selenium', 'scrum', 'testing', 'qa']"
Agile Jobs,"['agile', 'scrum']"
Agile Jobs,['recruiter']
Agile Jobs,"['python', 'javascript', 'django', 'flask', 'reactjs', 'graphql', 'aws']"
Agile Jobs,"['web', 'nodejs', 'amazon', 'reactjs', 'graphql', 'aws']"
Agile Jobs,['sales process']
Agile Jobs,[]
Agile Jobs,['availability']
